id,instruction,answer,option_c,option_b,option_a,option_d,
ARC-Challenge/train/Mercury_7043015,Un elev folosește lut pentru a construi modele ale unei plăci oceanice și a unei plăci continentale. Care caracteristică nu poate fi reprezentată exact prin intermediul modelelor?,C,densitățile relative ale plăcilor,mărimile relative ale plăcilor,formele plăcilor,aranjamentul plăcilor relative unul față de celălalt,
ARC-Challenge/train/Mercury_409819,"Laura s-a pregătit să arunce o minge de bowling pe o pistă. A împins mingea în spate cu brațul. La vârful aruncării înapoi, mingea avea o viteză de 0 metri pe secundă (m/s). A împins mingea înainte pentru a o elibera pe pistă. Mingea i-a părăsit mâna cu o viteză de 12 m/s. Timpul necesar pentru a împinge mingea înainte a fost de 0,5 secunde. Care a fost accelerația medie a mingii de bowling în timpul aruncării?",D,"11,5 m/s^2","6,0 m/s^2","2,4 m/s^2","24,0 m/s^2",
ARC-Challenge/train/Mercury_7214673,Studenții au înregistrat temperaturile inițiale și finale ale solurilor de culori diferite expuse direct la soare timp de trei ore. Studenții doresc să compare schimbările totale de temperatură pentru fiecare culoare de sol. Care dintre aceste formate ar fi cel mai potrivit pentru afișarea rezultatelor acestei investigații?,A,diagramă circulară,diagramă liniară,diagramă cu bare,tabel de date,
ARC-Challenge/train/Mercury_7284060,"Păsările finch vampire din Insulele Galapagos ciugulesc o altă specie de pasăre, booby albastru-galben, până când finchii fac o rană. Apoi, finchii beau sângele booby-ului. Oamenii de știință cred că acum multe generații, finchii obișnuiau să îndepărteze insectele de pe booby, iar comportamentul a evoluat în ceea ce este astăzi. Care afirmație descrie cel mai bine relația dintre păsări acum multe generații și relația de astăzi?",B,Ambele relații sunt de natură parazitară.,Relația veche era mutualistă. Noua relație este de natură parazitară.,Relația veche era de natură parazitară. Noua relație este mutualistă.,Ambele relații sunt mutualiste.,
ARC-Challenge/train/Mercury_SC_LBS10046,Un veveriță care adună ghinde ajută copacii,B,să reziste la boli.,să se reproducă.,să crească.,să devină mai puternici.,
ARC-Challenge/train/Mercury_7187040,"Oamenii de știință lansează o rachetă în spațiu pentru o misiune. Odată ce racheta scapă de atracția gravitațională a Pământului, cum vor fi afectate masa și greutatea rachetei?",C,"Masa va rămâne la fel, dar greutatea se va schimba.",Masa și greutatea vor rămâne la fel.,Masa și greutatea se vor schimba.,"Masa se va schimba, dar greutatea va rămâne la fel.",
ARC-Challenge/train/NYSEDREGENTS_2005_8_26,În apropierea unei ferestre însorite sunt crescute în interior câteva plante de roșii. Plantele primesc apă și îngrășământ și rămân pe pervaz. Ce se va întâmpla cel mai probabil?,D,Picăturile de apă se vor aduna pe frunzele orientate spre exteriorul ferestrei.,Rădăcinile plantelor vor crește în sus din sol.,Majoritatea frunzelor de pe partea de la fereastră vor ofili și vor muri.,Tulpina se va îndoi spre fereastra.,
ARC-Challenge/train/Mercury_407023,Care dintre următoarele indică cel mai bine transformarea de energie în trei pași de bază pentru un radio cu baterii?,C,Chimic -> Electric -> Acustic,Mecanic -> Acustic -> Chimic,Acustic -> Mecanic -> Electric,Electric -> Acustic -> Chimic,
ARC-Challenge/train/Mercury_7233905,"În ciclul carbonului, acesta se deplasează dintr-un rezervor în altul în timp ce diverse procese organice și anorganice au loc pe Pământ. Doar o mică parte din carbonul global este mutat în acest ciclu în fiecare an. Carbonul rămas este stocat în acești rezervoare. Care dintre rezervoare conține cea mai mare cantitate de carbon stocat?",D,combustibilii fosili,atmosfera,biomasa vegetală,oceanul profund,
ARC-Challenge/train/MEA_2012_5_8,De cate ori se roteste Pamantul in jurul axei sale intr-o zi?,A,de 24 de ori,de doua ori,o singura data,de 365 de ori,
ARC-Challenge/train/MDSA_2007_5_9,Un student fierbe 100 de grame de apă pentru a forma vapori de apă (gaz). Ce metodă ar trebui să folosească studentul pentru a determina că masa vaporilor de apă este egală cu 100 de grame?,B,cântărirea paharului înainte și după ce apa este fiartă,colectarea vaporilor de apă (gaz) și refrigerarea lor înapoi la lichid,măsurarea cantității de vapori de apă (gaz) din aer,compararea temperaturii apei clocotite cu temperatura vaporilor de apă (gaz),
ARC-Challenge/train/ACTAAP_2014_7_14,Care proces în plante este cel mai similar cu reproducerea sexuală în vertebrate?,C,încrucișare,autopolenizare,diviziune celulară,dezvoltarea semințelor,
ARC-Challenge/train/Mercury_SC_415706,Un inginer poate alege din patru materiale diferite pentru a face un mânecă rezistentă la căldură pentru o lingură de amestecat. Care material este cel mai puțin probabil să se încingă atunci când lingura este plasată în apă clocotită?,B,Sticlă,Lemn,Ceramică,Fier,
ARC-Challenge/train/Mercury_7114818,Un tip de pasăre din Africa mănâncă insecte care sug sânge de pe mamifere mari. Ce cuvânt descrie cel mai bine relația dintre pasăre și mamifere?,A,neutralism,parazitism,mutualism,comensalism,
ARC-Challenge/train/Mercury_7206535,"În organismele multicelulare, diferite structuri au diferite funcții. Ce funcție este îndeplinită de frunzele unei plante?",C,absorbția luminii,producerea florilor,absorbția hranei,producerea de semințe,
ARC-Challenge/train/Mercury_7161210,Clasificarea unor organisme s-a schimbat. Ce nou proces se folosește pentru a reface clasificarea organismelor?,B,Organismele sunt acum împărțite în trei regnuri.,Structurile sunt examinate acum la nivel molecular.,Organismele primesc acum nume științifice bazate pe limbă latină.,Structurile sunt acum folosite pentru a clasifica organismele.,
ARC-Challenge/train/Mercury_7042805,Ce unealtă ar fi cea mai utilă pentru a calcula volumul unui prismă de sticlă?,A,voltmetru,balanță,riglă,termometru,
ARC-Challenge/train/Mercury_SC_408784,Michael a învățat că mișcarea Pământului în sistemul solar provoacă schimbări care pot fi observate pe planetă. Ce schimbare ar putea fi văzută pe Pământ în timpul cât acesta se rotește o dată pe axa sa?,A,ianuarie înlocuind februarie,iarna devenind primăvară,ziua devenind noapte,o lună nouă devenind o lună plină,
ARC-Challenge/train/Mercury_7211348,Un student dorește să folosească o masă cu flux pentru a testa influența acidității apei asupra ratei de eroziune a unui râu. Care variabilă ar trebui să fie constantă în acest experiment?,A,cantitatea de sediment erodat,aciditatea apei,unghiul de înclinare a mesei,rata la care sedimentul este erodat,
ARC-Challenge/train/Mercury_7246978,Ce conversie de energie are loc atunci când o persoană tremură și energia este transferată pentru a mișca mușchii și articulațiile?,D,energie potențială în energie chimică,energie termică în energie cinetică,energie cinetică în energie potențială,energie chimică în energie mecanică,
ARC-Challenge/train/MCAS_2003_5_21,Care dintre următoarele este cel mai puțin probabil să se transforme de la starea solidă la starea lichidă atunci când este aplicată căldură?,B,gheață,hârtie,unt,parafină,
ARC-Challenge/train/Mercury_SC_LBS10615,"Toate acestea sunt exemple de interacțiuni dintre Pământ și Lună, cu excepția",C,anotimpurilor de pe Pământ.,mareelor de pe Pământ.,fazelor Lunii.,eclipselor de Lună.,
ARC-Challenge/train/Mercury_SC_401596,Ce caracteristică face ca o broască țestoasă să fie mai dispusă să supraviețuiască decât alte broaște țestoase?,C,piele care seamănă cu frunzele de copac,un apel neobișnuit de înalt,preference pentru insecte rare,un corp mai mare decât alte broaște țestoase,
ARC-Challenge/train/Mercury_7268013,În ce fel sunt pădurile tropicale și recifurile de corali diferite de ecosistemele cu puține specii?,B,Organismele adesea trebuie să concureze pentru hrană.,Rețelele alimentare sunt mai stabile și durabile.,Există mai mulți prădători decât pradă.,Populațiile de plante sunt producătorii primari.,
ARC-Challenge/train/Mercury_7097965,Ce au în comun Galaxia Căii Lactee și alte galaxii din univers?,D,Conțin același număr de stele.,Se rotesc în aceeași direcție.,Sunt similare în formă.,Au elemente similare.,
ARC-Challenge/train/Mercury_7239575,O specie trăiește într-o regiune care se schimbă de-a lungul timpului de la temperată la tropicală. Supraviețuirea speciei va fi probabilă dacă specia poate face următoarele?,B,încrucișarea cu organisme tropicale similare,adaptarea pentru a exploata resursele schimbate,reducerea cerințelor energetice,emigrarea înainte ca schimbarea să fie completă,
ARC-Challenge/train/MSA_2013_8_5,"Provocarea mielului - Evoluția. O specie de oi trăiește pe insula scoțiană Hirta. Hirta are multă iarbă pentru oi să mănânce și nu există prădători naturali ai oilor care să trăiască pe insulă. Unele oi au lână neagră, iar altele au lână albă. Oile cu lână neagră tind să fie mult mai mari și mai puternice decât cele cu lână albă. Cu toate acestea, cercetătorii au descoperit că în ultimii 20 de ani, oi cu lână albă au crescut în număr. De obicei, forța și dimensiunea ajută animalele să supraviețuiască și să se înmulțească. Pe Hirta, oi cu lână albă sunt mai numeroase decât oi cu lână neagră pentru că oi cu lână albă",D,produc mai puțini pui în fiecare an,au o dietă mai restrictivă,produc mai multă lână,au o șansă mai mare de a supraviețui și a se reproduce,
ARC-Challenge/train/Mercury_SC_408402,"Unele dintre mașinile noi produse pot funcționa cu combustibili regenerabili, care sunt produși în mare parte din porumb. Oamenii de știință dezvoltă chiar și mai multe carburanți regenerabili pentru a înlocui benzina. De ce sunt combustibilii regenerabili cel mai probabil să devină mai importanți?",D,Cererea de benzină scade.,Rezervoarele de combustibil pentru mașini sunt făcute mai mici.,Combustibilii regenerabili eliberează mai puțină energie.,Sursele de combustibil neregenerabil sunt limitate.,
ARC-Challenge/train/MCAS_1998_4_9,"Pentru proiectul său la științe, Alan a început un studiu despre arborii de arțar zahăr. A observat multe diferențe între arborii de arțar zahăr din apropierea școlii sale. Care dintre următoarele trei caracteristici ar varia cel mai PUȚIN?",C,tipul de semințe,numărul de frunze,înălțime,lățimea trunchiului,
ARC-Challenge/train/Mercury_7114870,Un elev pregătește un raport despre schimbările treptate de mediu. Care este cea mai bună temă pentru acest raport?,B,descompunerea unui rozătoare deșertice,succesiunea care transformă pajiștea în pădure,incendiile forestiere în regiunile montane,inundațiile rapide într-o zonă rurală,
ARC-Challenge/train/MCAS_2006_9_38-v1,Care dintre următoarele distinge organisme în regnul Fungi de alte organisme eucariote?,C,Ciupercile își obțin hrana prin absorbție.,Ciupercile se reproduc sexual.,Ciupercile sunt unicelulare.,Ciupercile produc hrană prin fotosinteză.,
ARC-Challenge/train/Mercury_SC_406796,Studenții efectuează o investigație pentru a determina tipurile de bacterii care cresc înăuntrul școlii lor. Ce activitate ar trebui să evite elevii în timpul acestei investigații?,C,aducerea de alimente și băuturi în laborator,curățarea tuturor materialelor pe care le-au folosit,purtați mănuși în timpul manipulării probelor,spălarea mâinilor înainte de a părăsi laboratorul,
ARC-Challenge/train/Mercury_SC_409578,"Drew știe că Pământul este înclinat pe axa sa. De asemenea, el știe că această înclinare este responsabilă pentru anotimpul pe care o regiune de pe Pământ îl va experimenta. Când Polo Sud este înclinat spre Soare, în ce anotimp va fi în Florida?",D,vară,primăvară,toamnă,iarnă,
ARC-Challenge/train/Mercury_7268188,Care dintre acestea este găsit în toate organismele?,A,un organ,un țesut,o celulă,un sistem de organe,
ARC-Challenge/train/Mercury_SC_LBS10791,De ce sunt văzute stele diferite în timpul diferitelor sezoane?,C,Pământul își schimbă poziția în orbita sa în timpul diferitelor sezoane.,Soarele strălucește pe diferite stele în timpul diferitelor sezoane.,Unele stele strălucesc mai intens în diferite sezoane.,Luna își schimbă poziția în orbita sa în timpul difereților sezoane.,
ARC-Challenge/train/Mercury_7212030,"În comparație cu vehiculele alimentate cu benzină de dimensiuni similare, vehiculele hibride electrice-benzină au fost proiectate în primul rând pentru a",D,funcționa independent de combustibilii fosili.,elimina emisiile de gaze cu efect de seră.,produce mai mulți cai putere.,asigura o eficiență mai bună la consumul de combustibil.,
ARC-Challenge/train/Mercury_7247030,O anumită specie de papagali în pericol de dispariție trăiește pe o insulă care poate fi grav afectată de inundații mari. Care dintre acestea este considerată o influență negativă asupra populației de papagali cauzată de inundații?,A,o creștere a locurilor potrivite pentru cuibărit,o scădere a populațiilor de prădători,o scădere a disponibilității hranei,o creștere a locurilor de ascuns de pericol,
ARC-Challenge/train/MCAS_1998_8_25,"La plantele de mazăre, gena înaltă domină gena scurtă. Ce dimensiune vor avea plantele rezultate când două plante scurte sunt încrucișate?",A,numai plante înalte,plante scurte și înalte,numai plante scurte,plante de dimensiune medie,
ARC-Challenge/train/Mercury_7216703,"Unii oameni suferă de o afecțiune numită sindromul de tunel carpian care provoacă dureri la nivelul încheieturilor. Sindromul de tunel carpian poate rezulta din acțiunile repetate ale încheieturilor și mâinilor, cum ar fi tastarea pe o tastatură de calculator. Acesta este un exemplu de utilizare a tehnologiei în ciuda impactului său",B,avansuri medicale.,negativ.,benefic pentru societate.,caracteristici convenabile.,
ARC-Challenge/train/Mercury_7007508,"Când o undă de compresie călătorește printr-un mediu, în ce direcție se deplasează mediul?",C,în aceeași direcție,în jos,în sus,în direcția opusă,
ARC-Challenge/train/Mercury_7174195,"Un dispozitiv de mișcare perpetuă este un dispozitiv teoretic care, odată pornit, continuă să funcționeze fără nicio sursă adițională de energie. Care dintre următoarele afirmații descrie de ce un dispozitiv de mișcare perpetuă este imposibil de proiectat?",B,Cantitatea de energie dintr-un sistem rămâne constantă.,Fricțiunea reduce eficiența într-un sistem.,Energia poate fi convertită în masă.,Energia potențială poate fi convertită în energie cinetică.,
ARC-Challenge/train/MDSA_2010_4_28,"Unele alimente pe care oamenii le consumă, cum ar fi porumbul și mazărea, sunt, de fapt, semințe de la plante. Care dintre următoarele descrie cel mai bine rolul oamenilor într-o rețea trofică care conține aceste plante?",A,un producător,un descompunător,un consumator,un lătrător,
ARC-Challenge/train/Mercury_415092,Examinați fiecare dintre aceste ecuații chimice pentru a determina care ecuație este corect echilibrată.,B,2Mg(NO_{3})_{2} + K_{2}CO_{3} -> 2MgCO_{3} + KNO_{3},Mg(NO_{3})_{2} + K_{2}CO_{3} -> MgCO_{3} + 2KNO_{3},Mg(NO_{3})_{2} + K_{2}CO_{3} -> MgCO_{3} + KNO_{3},Mg(NO_{3})_{2} + 2K_{2}CO_{3} -> MgCO_{3} + 2KNO_{3},
ARC-Challenge/train/VASoL_2007_3_35,"Când o broscuță îşi dezvoltă corpul, branhii acestuia sunt înlocuite cu plămâni. De ce are nevoie acum pentru a supraviețui?",A,Sol,Apă,Aer,Înotătoare,
ARC-Challenge/train/Mercury_SC_407137,Plantele folosesc nutrienți găsiți în sol. Care dintre aceștia se poate descompune în sol și pot deveni nutrienți?,C,frunze,apă,aer,lumina soarelui,
ARC-Challenge/train/NYSEDREGENTS_2004_8_37,Administratorii orașului pot încuraja economisirea energiei prin,D,scăderea costului benzinei,construirea de parcări mai mari,reducerea tarifelor de parcare,reducerea prețului biletelor de autobuz și metrou,
ARC-Challenge/train/MEAP_2005_8_40,Care dintre următoarele NU este o descriere a compușilor?,A,Au proprietăți care diferă de cele ale elementelor componente.,Constau din atomi ai doi sau mai multor elemente legați între ei.,Pot exista sub formă de atomi sau molecule.,"Pot fi dezmembrate în elemente prin mijloace chimice, dar nu prin mijloace fizice.",
ARC-Challenge/train/Mercury_SC_LBS10674,Care dintre următoarele este un exemplu de schimbare chimică?,D,înghețarea apei,dizolvarea zahărului,formarea norilor,arderea unei lumânări,
ARC-Challenge/train/MCAS_2003_8_14,Tragerea gravitațională pe Pământ este un rezultat direct al,A,rotației Pământului în jurul axei sale.,câmpului magnetic al Pământului.,masei Pământului.,greutății atmosferei Pământului.,
ARC-Challenge/train/NYSEDREGENTS_2005_8_1,Care dintre afirmațiile următoare explică cel mai bine de ce Soarele și Luna par a fi de aproximativ aceeași mărime pe cer?,C,Luna este mai mică în diametru și este mai aproape de Pământ decât Soarele.,Luna are un diametru mai mare și este mai îndepărtată de Pământ decât Soarele.,Soarele și Luna au același diametru.,Soarele și Luna se află la aceeași distanță de Pământ.,
ARC-Challenge/train/Mercury_7218120,Caruia dintre acestea îi se datorează rotația Pământului?,B,orbita Lunii,ziua și noaptea,anotimpurile,eclipsa lunară și solară,
ARC-Challenge/train/MDSA_2008_5_40,Un elev investighează modificările stărilor de agregare. Elevul umple un cilindru gradat cu 50 de mililitri de zăpadă densă. Cilindrul gradat cântărește 50 de grame când este gol și 95 de grame când este umplut cu zăpadă. Zăpada densă se transformă în apă lichidă atunci când este pusă într-o cameră caldă. Care afirmație descrie cel mai bine acest proces?,D,Încălzirea determină înghețarea zăpezii.,Răcirea determină înghețarea zăpezii.,Răcirea determină topirea zăpezii.,Încălzirea determină topirea zăpezii.,
ARC-Challenge/train/ACTAAP_2007_7_24,Care este o afirmație corectă în ceea ce privește reprezentarea grafică a datelor?,D,"Pentru orice set de date dat, există doar un grafic corect sau o modalitate de a-l afișa.",Graficele cu bare sunt cele mai bune tipuri de grafice pentru datele științifice.,Este întotdeauna mai bine să lăsați datele într-o tabelă decât să le reprezentați grafic.,Datele pot fi afișate în multe tipuri de grafice în scopul prezentării unor aspecte diferite ale datelor.,
ARC-Challenge/train/NYSEDREGENTS_2009_8_12,"Calcarul este o rocă sedimentară, iar marmura este o rocă metamorfică. Chiar dacă calcarul și marmura au aceeași compoziție chimică, ele sunt clasificate ca roci diferite deoarece",D,au fost formate la momente diferite,au necesitat perioade diferite de timp pentru a se forma,au fost formate din diferite fosile,au fost formate prin metode diferite,
ARC-Challenge/train/Mercury_7139125,"Deşertul Sahara din Africa are temperaturi ridicate în timpul zilei, dar temperaturi scăzute în timpul nopţii. Ce factor este în principal responsabil pentru temperaturile scăzute în timpul nopţii în deşertul Sahara?",C,lipsa norilor,latitudine joasă,solul grosier,altitudine mare,
ARC-Challenge/train/MCAS_1998_8_7,Care dintre afirmațiile despre Soare este adevărată?,C,Soarele este o stea de dimensiuni medii în apropierea marginii Galaxiei Căii Lactee.,Soarele se află în centru Galaxiei Căii Lactee.,Soarele este o stea foarte mare care există departe de Galaxia Căii Lactee.,Soarele are Calea Lactee și câteva alte galaxii care orbitează în jurul său.,
ARC-Challenge/train/Mercury_412647,"Câte atomi sunt într-o unitate de formulă de hidroxid de magneziu, Mg(OH)_{2}?",B,4,5,6,3,
ARC-Challenge/train/Mercury_7041160,Care resursă energetică este nerenovabilă?,A,apă,solar,petrol,vânt,
ARC-Challenge/train/Mercury_7064278,Hărțile stradale sunt exemple de modele bidimensionale. Care informație nu poate fi determinată folosind o hartă de bază?,D,numele autostrăzilor și al drumurilor,indicații precum nord și sud,distanța de la un loc la altul,altitudini precum distanța față de nivelul mării,
ARC-Challenge/train/MCAS_2009_8_3,Care dintre afirmațiile următoare explică cel mai bine de ce este mai cald la ecuator decât la Polul Nord?,C,Ecuatorul primește mai multă lumina directa a Soarelui decât Polul Nord.,Ecuatorul este mai aproape de Soare decât Polul Nord.,Ecuatorul are o suprafață mai mare decât Polul Nord.,Ecuatorul are mai multe ore de lumină naturală pe an decât Polul Nord.,
ARC-Challenge/train/Mercury_SC_416654,Care comparație a ecosistemelor este adevărată?,B,Deșerturile au mai multe plante decât pădurile tropicale.,Câmpiile de iarbă primesc mai multă ploaie decât deșerturile.,Tundrele sunt mai calde decât câmpiile de iarbă.,Pădurile tropicale sunt mai stâncoase decât tundrele.,
ARC-Challenge/train/Mercury_414102,Organismele pot fi separate în cele mai largi grupuri cunoscute după cele mai de bază caracteristici în,B,filumuri.,domenii.,regate.,ordini.,
ARC-Challenge/train/Mercury_SC_400986,De ce este mai sigur să te uiți la Luna decât să te uiți la Soare?,A,Luna strălucește mai ales noaptea.,Luna este mai aproape de Pământ.,Luna este mai puțin strălucitoare.,Luna este plină doar o dată pe lună.,
ARC-Challenge/train/MCAS_2005_5_15,"Când un vulcan erupe, lava curge din vârf. Ce tip de rocă se formează când lava se răcește?",B,sedimentar,igneu,magma,metamorfic,
ARC-Challenge/train/Mercury_7283675,Care dintre aceste metode de obținere a resurselor energetice are cel mai mic efect asupra litozefei?,C,recoltarea lemnului prin tăiere selectivă,extragerea petrolului din ape,mineritul la suprafață pentru uraniu,colectarea gazului natural din sondele de petrol vechi,
ARC-Challenge/train/Mercury_7210280,"Datorită faptului că apa poate păstra o cantitate mare de căldură, ce efect au oceanele asupra zonelor de uscat din apropiere?",A,Ele furnizează energia care declanșează evenimentele vulcanice.,Ele formează zone cu presiune înaltă care cauzează curenti de magma.,Ele previn schimbările de temperatură extreme rapide.,Ele reduc punctul de îngheț al apei dulci.,
ARC-Challenge/train/MCAS_2006_9_20,Care dintre următoarele are cea mai mică cantitate de mișcare?,B,o masă de 10 kg cu o viteză de 11 m/s,o masă de 1 kg cu o viteză de 100 m/s,"o masă de 0,5 kg cu o viteză de 1000 m/s",o masă de 100 kg cu o viteză de 2 m/s,
ARC-Challenge/train/Mercury_SC_400338,Corpul unui pește este acoperit de solzi pentru,B,colorare.,protecție.,ornament.,reproducere.,
ARC-Challenge/train/Mercury_SC_405198,Care dintre aceste alegeri va crește cel mai probabil populația unei plante într-un habitat?,D,mai puține zile însorite,temperaturi de îngheț,vânturi puternice,mai multe zile cu ploi,
ARC-Challenge/train/MCAS_2009_5_6516,Care din următoarele afirmații explică cel mai bine de ce magnetele se lipesc de obicei de ușa unui frigider?,B,Ușa frigiderului este un bun conductor.,Ușa frigiderului conține fier.,Ușa frigiderului este netedă.,Ușa frigiderului are fire electrice în ea.,
ARC-Challenge/train/MDSA_2009_4_30,Stelele sunt organizate în modele numite constelații. O constelație se numește Leo. Care dintre afirmații explică cel mai bine de ce Leo apare în diferite zone ale cerului pe tot parcursul anului?,A,Constelațiile se rotesc în jurul Pământului.,Soarele se rotește în jurul Pământului.,Pământul se rotește în jurul soarelui.,Pământul se rotește în jurul constelațiilor.,
ARC-Challenge/train/ACTAAP_2007_7_28,Care dintre următoarele reprezintă un exemplu de conducție termică?,D,răsăritul soarelui prin geam,apa fierbe pe aragaz,un încălzitor pornit,lingura de metal se încălzește într-un vas cu supă fierbinte,
ARC-Challenge/train/MCAS_2004_9_20-v1,"O minge de bowling cu o masă de 8,0 kg alunecă pe o pistă de bowling cu o viteză de 2,0 m/s. Care este impulsul mingii de bowling?",D,"10,0 kg x m/s","6,0 kg x m/s","4,0 kg x m/s","16,0 kg x m/s",
ARC-Challenge/train/MCAS_2000_4_4,De ce sunt de obicei netede pietrele și pietrișul găsite pe fundurile râurilor?,B,Râurile pot curge doar pe pietre și pietriș netede.,Pietrele și pietrișul se freacă unul de altul pe măsură ce apa curge peste ele.,Pietrele și pietrișul studenților nu sunt foarte vechi.,Organismele din râuri descompun pietrele și pietrișul.,
ARC-Challenge/train/NCEOGA_2013_8_8,Care dintre următoarele determină cel mai bine sănătatea unui lac folosit ca sursă de apă dulce?,B,locația și adâncimea sa,temperatura și pH-ul său,adâncimea și lățimea sa,temperatura și adâncimea sa,
ARC-Challenge/train/Mercury_SC_LBS10656,Care dintre următoarele reprezintă o schimbare chimică?,B,Un student colorând o hârtie albastră.,Un profesor aprinzând o lumânare.,Un student mirosind o floare.,Un profesor simțind o pânză aspră.,
ARC-Challenge/train/Mercury_7119858,Un oraș dorește să construiască un baraj în apropiere pentru a crește aprovizionarea cu apă. Care întrebare este cea mai importantă de pus în legătură cu efectele asupra mediului ale construirii barajului?,D,Cum va fi utilizat lacul pentru recreere?,Cât de mult beton este nevoie?,Cât timp va dura construcția?,Cum va afecta barajul populațiile de pești?,
ARC-Challenge/train/Mercury_SC_416424,Care este adevărat despre modelele meteorologice sezoniere ale locurilor care se află la aceeași latitudine?,C,Acestea au aceeași intensitate a luminii solare.,Acestea au aceeași cantitate de ploaie.,Acestea au aceleași modele de vânt.,Acestea au aceeași feluri de vreme severă.,
ARC-Challenge/train/Mercury_7171920,"Kailey şi LeAnn au pregătit un raport despre mareaţi de ocean. Ce informaţii ar trebui să includă în raportul lor, legate de cea mai mare influenţă asupra intensităţii unei maree într-o anumită zonă?",A,rotaţia Lunii,poziţia Pământului în jurul Soarelui,poziţia Lunii în jurul Pământului,rotaţia Pământului,
ARC-Challenge/train/Mercury_7168665,"Un pesticid ajunge în apele Everglades și distruge multe dintre populațiile de pești, amfibieni și păsări de care aligatorii depind pentru hrană. Care schimbare ar fi cel mai probabil să apară în populația de aligatori?",C,creșterea agresivității între indivizi,scăderea numărului de decese ale aligatorilor,creșterea ratei de reproducere,scăderea numărului de aligatori migrați,
ARC-Challenge/train/Mercury_7132038,Care este cea mai bună dovadă că două substanțe sunt făcute din tipuri diferite de materie?,A,Două substanțe au volume diferite.,Două substanțe au temperaturi diferite.,Două substanțe au reacții diferite la lumină.,Două substanțe au forme diferite.,
ARC-Challenge/train/Mercury_7228375,"Studenții care studiază membranele au realizat un experiment folosind pahare de hârtie etichetate umplute cu concentrații diferite de colorant roșu. După experiment, paharele erau goale și colorate. Ce trebuie făcut cu paharele folosite?",C,reciclați paharele,aruncați paharele,reutilizați paharele,etichetați din nou paharele,
ARC-Challenge/train/FCAT_2012_8_7,Lanțurile trofice arată relațiile de hrănire dintre diferite tipuri de organisme. Acele organisme au fiecare un nișă specifică. Care dintre următoarele descrie cel mai bine o funcție a decompozitorilor în lanțurile trofice?,A,asigurarea hranei pentru consumatorii secundari,convertirea energiei solare în hrană,reciclarea nutrienților în sol,concurarea cu  consumatorii secundari pentru oxigen,
ARC-Challenge/train/Mercury_7085575,"Care resursă, când este utilizată, provoacă cel mai multă poluare?",B,eoliană,cărbune,solară,hidro,
ARC-Challenge/train/Mercury_SC_LBS10271,Care este o modalitate prin care plantele și animalele sunt diferite?,B,"Plantele nu produc oxigen, iar animalele da.","Plantele își produc singure hrana, iar animalele nu.","Plantele nu au nevoie de minerale, iar animalele da.","Plantele au nevoie de soare, iar animalele nu.",
ARC-Challenge/train/Mercury_415261,Care dintre următoarele va reduce factura de energie electrică la domiciliu?,B,păstrarea aparatelor electrice conectate când nu sunt în utilizare,uscarea hainelor pe o sfoară în zilele însorite,utilizarea servetelelor din pânză în loc de prosoape din hârtie,utilizarea becurilor incandescente în lămpi,
ARC-Challenge/train/ACTAAP_2013_7_6,"În prezent, Antarctica este cel mai rece și cel mai uscat loc de pe Pământ. Paleontologii au descoperit fosile de dinozauri în straturile de rocă de sub gheață. Pe baza acestor dovezi, care este o concluzie rezonabilă despre clima Antarcticii din trecut?",C,"În trecut, Antarctica a fost mult mai caldă și mai umedă.","În trecut, Antarctica a fost un deșert fierbinte și uscat.",Antarctica a avut întotdeauna aceeași climă ca în prezent.,"În trecut, Antarctica a fost mai rece și mai umedă decât este acum.",
ARC-Challenge/train/Mercury_7271268,"Când o plantă ofilește, stomatele se închid. Cum ajută acest fapt planta?",B,Crește respirația celulară.,Reduce pierderea de apă.,Crește procesul de fotosinteză.,Reduce absorbția de apă de către rădăcini.,
ARC-Challenge/train/MCAS_2005_9_20,Care dintre următoarele reprezintă o asemănare între undele de raze X și undele sonore?,A,Ambele au aceeași viteză.,Ambele necesită un vid.,Ambele transferă energie.,Ambele au aceeași frecvență.,
ARC-Challenge/train/Mercury_SC_415540,Patru elevi diferiți se rotesc la împingerea unei mingi mari și grele pe parcarea școlii. Care este cea mai bună modalitate de a determina care elev a folosit cea mai mare forță pentru a împinge mingea?,C,comparați distanțele pe care mingea a fost rulată,comparați vârstele elevilor,comparați dimensiunile elevilor,comparați numărul de ori când mingea a fost rulată,
ARC-Challenge/train/Mercury_SC_408743,Jeremiah a observat că o plantă avea multe frunze lipsă și urme mari în alte frunze. De ce frunzele lipsă dăunează plantei?,A,Planta atrage mai puțini insecte.,Planta absoarbe mai puțină apă.,Planta produce mai puțină hrană.,Planta nu are suport.,
ARC-Challenge/train/AKDE&ED_2008_4_36,"O persoană prinde și măsoară un pește mare numit șalău. Ea crede că acest șalău este mai mare decât media. Pentru a-și susține gândirea, ar fi cel mai util să măsoare",B,pești din aceeași locație.,mulți pești din aceeași specie.,multe tipuri de pești.,pești într-un sezon diferit.,
ARC-Challenge/train/Mercury_SC_400377,Manuel dorește o zonă în curte pentru a spăla câinele fără a face băltoace. El vrea să pună ceva pe sol prin care apa să poată trece ușor. Care dintre aceste materiale ar fi cel mai potrivit pentru el?,D,sol,plastic,lut,pietricele,
